epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.126,1.20177,1.73724,1.20634,1,0.92371,0.995,0.65261,1.17633,2.30301,1.07137,0.00065812,0.00065812,0.00065812
2,382.275,1.23129,1.09645,1.20015,0.99658,1,0.995,0.69075,1.0454,1.05503,1.08077,0.00129856,0.00129856,0.00129856
3,569.667,1.24535,0.95906,1.19993,0.99737,1,0.995,0.65189,1.09697,0.78643,1.02915,0.00191259,0.00191259,0.00191259
4,788.705,1.24304,0.92351,1.21251,0.99793,1,0.995,0.67016,1.14355,0.70719,1.06346,0.0018812,0.0018812,0.0018812
5,1003.72,1.22066,0.81964,1.19695,0.9973,1,0.995,0.70302,0.94287,0.60693,1.01688,0.0018416,0.0018416,0.0018416
6,1268.62,1.15095,0.76228,1.14404,0.99797,1,0.995,0.69943,1.06138,0.57483,1.04892,0.001802,0.001802,0.001802
7,1525.2,1.14294,0.70239,1.16442,0.99813,1,0.995,0.7013,1.02302,0.52765,1.01076,0.0017624,0.0017624,0.0017624
8,1701.08,1.13187,0.68497,1.1295,0.99173,1,0.995,0.64138,1.11038,0.5371,1.047,0.0017228,0.0017228,0.0017228
9,1874.86,1.14376,0.66214,1.14842,0.99796,1,0.995,0.69643,0.98308,0.4505,1.00636,0.0016832,0.0016832,0.0016832
10,2044.11,1.10037,0.64673,1.14162,1,0.99715,0.995,0.66104,1.13274,0.54493,1.07371,0.0016436,0.0016436,0.0016436
11,2213.35,1.13292,0.64828,1.15128,0.9982,1,0.995,0.6801,1.01745,0.51652,1.04253,0.001604,0.001604,0.001604
12,2381.41,1.09949,0.61938,1.1416,0.99825,1,0.995,0.67922,1.02622,0.44925,1.03405,0.0015644,0.0015644,0.0015644
13,2549.14,1.08823,0.61397,1.12218,0.99788,1,0.995,0.68587,0.99785,0.42794,1.00008,0.0015248,0.0015248,0.0015248
14,2718.23,1.10935,0.60968,1.12986,0.99558,1,0.995,0.62055,1.2742,0.58832,1.14431,0.0014852,0.0014852,0.0014852
15,2885.47,1.06402,0.58007,1.11561,0.99781,1,0.995,0.68896,1.02632,0.43367,1.02943,0.0014456,0.0014456,0.0014456
