epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.6785,1.06133,2.30986,1.11335,0.00333,1,0.28082,0.20031,0.82976,2.95424,0.93079,0.0005,0.0005,0.0005
2,134.033,1.02149,1.24342,1.01227,0.00333,1,0.17128,0.1367,0.91168,2.89948,0.94773,0.000999804,0.000999804,0.000999804
3,205.169,1.05875,1.03937,1.03172,1,0.88999,0.995,0.77206,0.84955,2.0944,0.92993,0.00147902,0.00147902,0.00147902
4,286.424,1.01339,0.94089,1.04316,0.88444,0.95994,0.98167,0.78161,1.05377,1.64925,0.99012,0.0018812,0.0018812,0.0018812
5,367.485,1.06635,0.96607,1.07254,1,0.98227,0.995,0.77105,0.83368,1.14731,0.90848,0.0018416,0.0018416,0.0018416
6,431.366,1.02742,0.90933,1.03183,0.98811,1,0.995,0.78004,0.87601,0.84208,0.94559,0.001802,0.001802,0.001802
7,509.302,0.99719,0.8465,1.02332,0.99135,1,0.995,0.79239,0.80698,0.88006,0.91644,0.0017624,0.0017624,0.0017624
8,599.323,0.88194,0.8954,0.97894,0.99252,1,0.995,0.78304,0.80906,0.7341,0.95942,0.0017228,0.0017228,0.0017228
9,677.568,0.90311,0.79315,0.99451,0.99232,1,0.995,0.7808,0.80318,0.66724,0.89895,0.0016832,0.0016832,0.0016832
10,747.322,0.94133,0.73213,1.00848,0.99188,1,0.995,0.80075,0.8496,0.63897,0.8995,0.0016436,0.0016436,0.0016436
11,830.651,0.94806,0.7237,1.00836,0.99248,1,0.995,0.80751,0.84282,0.64078,0.90698,0.001604,0.001604,0.001604
12,903.598,0.93978,0.70419,1.00423,0.99227,1,0.995,0.74461,0.95502,0.68297,0.94856,0.0015644,0.0015644,0.0015644
13,971.353,0.95378,0.71841,1.01924,0.99349,1,0.995,0.81153,0.86037,0.63874,0.89694,0.0015248,0.0015248,0.0015248
14,1041.93,0.96163,0.67637,1.00648,0.99114,1,0.995,0.76827,0.91244,0.62989,0.92778,0.0014852,0.0014852,0.0014852
15,1121.59,0.93375,0.64289,1.00331,0.99286,1,0.995,0.80538,0.80567,0.53345,0.892,0.0014456,0.0014456,0.0014456
16,1206.91,0.8993,0.60272,0.9774,0.99286,1,0.995,0.77797,0.90019,0.60149,0.94252,0.001406,0.001406,0.001406
17,1286.71,0.85777,0.57417,1.00245,0.99357,1,0.995,0.83036,0.75218,0.47611,0.88923,0.0013664,0.0013664,0.0013664
18,1367.71,0.89069,0.60771,1.01626,0.99334,1,0.995,0.85863,0.75557,0.51381,0.89708,0.0013268,0.0013268,0.0013268
19,1434.99,0.87983,0.59752,0.99116,0.99327,1,0.995,0.77377,0.92502,0.50314,0.97973,0.0012872,0.0012872,0.0012872
20,1503.33,0.87715,0.5986,0.99235,0.99327,1,0.995,0.76656,0.87004,0.47003,0.94042,0.0012476,0.0012476,0.0012476
21,1564.13,0.83066,0.5755,0.97706,0.99344,1,0.995,0.78052,0.77121,0.43196,0.90624,0.001208,0.001208,0.001208
22,1639.77,0.82716,0.55292,0.97413,0.99366,1,0.995,0.7995,0.7062,0.46121,0.89344,0.0011684,0.0011684,0.0011684
23,1747.16,0.81477,0.52522,0.96315,0.9935,1,0.995,0.78334,0.84887,0.44768,0.92313,0.0011288,0.0011288,0.0011288
24,1855.31,0.87833,0.53552,0.99798,0.9936,1,0.995,0.75085,0.82776,0.44961,0.91262,0.0010892,0.0010892,0.0010892
25,1939.07,0.78216,0.50661,0.95823,0.99155,1,0.995,0.82355,0.72079,0.43184,0.88521,0.0010496,0.0010496,0.0010496
26,2013.33,0.79314,0.52052,0.96679,0.9934,1,0.995,0.81691,0.78273,0.42744,0.89062,0.00101,0.00101,0.00101
27,2090.01,0.75345,0.48163,0.93416,0.99336,1,0.995,0.81858,0.73365,0.42487,0.8789,0.0009704,0.0009704,0.0009704
28,2165.23,0.76124,0.48181,0.93322,0.99255,1,0.995,0.79992,0.79537,0.41752,0.93083,0.0009308,0.0009308,0.0009308
