epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,298.831,1.00049,2.94766,1.17512,0.00899,1,0.995,0.70789,0.91488,2.9279,0.86974,0.00024,0.00024,0.00024
2,562.753,0.92767,1.42231,1.03596,0.00333,1,0.995,0.8008,0.72642,2.90233,0.7759,0.0004901,0.0004901,0.0004901
3,897.468,0.94535,1.3135,1.04771,0.99656,1,0.995,0.7155,0.96134,3.06886,0.86944,0.000729904,0.000729904,0.000729904
4,1197.29,0.91183,1.1919,1.02632,0.97162,1,0.995,0.79024,0.87178,2.45913,0.81826,0.000959412,0.000959412,0.000959412
5,1343.6,0.91119,1.23018,1.04735,0.89604,0.875,0.98167,0.63162,1.11289,2.71883,0.95717,0.00117862,0.00117862,0.00117862
6,1515.88,0.95681,1.16945,1.07039,0.97656,1,0.995,0.80284,0.93358,2.14249,0.92653,0.00138754,0.00138754,0.00138754
7,1692.91,1.01289,1.08229,1.1123,1,0.98142,0.995,0.70213,1.19177,2.17584,1.17131,0.00158616,0.00158616,0.00158616
8,1864.72,0.96319,1.1005,1.0959,0.96679,1,0.995,0.74049,0.91544,1.91592,1.14955,0.0017228,0.0017228,0.0017228
